classification,database,major,access_location
graduate,Japanese-American Relocation Camp Newspapers: Perspectives on Day-to-Day Life,"2602,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts",off campus
junior,ARTFL French Dictionaries,"2107,COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics",on campus
graduate,title,"2500,ENGINEERING TECHNOLOGIES,Engineering",on campus
faculty,Literature Criticism Online,"3605,GENETICS,Biology & Life Science",off campus
senior,Ambrose Video,"6205,BUSINESS ECONOMICS,Business",off campus
doctorate,IET Digital Library,"2102,COMPUTER SCIENCE,Computers & Mathematics",off campus
sophomore,SCOPUS,"4005,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics",off campus
graduate,Oxford Bibliographies Online: Philosophy,"2399,MISCELLANEOUS EDUCATION,Education",on campus
faculty,Urban Institute,"6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health",on campus
doctorate,Elektronische Zeitschriftenbibliothek - Frei zugangliche E-Journals,"3402,HUMANITIES,Humanities & Liberal Arts",off campus
junior,INFORMS PubsOnLine,"6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health",off campus
junior,European Views of the Americas: 1493 to 1750,"1302,FORESTRY,Agriculture & Natural Resources",off campus
graduate,LandScan Global Population Database,"2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering",off campus
junior,SCOPUS,"1303,NATURAL RESOURCES MANAGEMENT,Agriculture & Natural Resources",off campus
faculty,Play Index (H.W. Wilson),"5008,MATERIALS SCIENCE,Engineering",off campus
doctorate,American West,"5206,SOCIAL PSYCHOLOGY,Psychology & Social Work",off campus
faculty,ProQuest Historical Newspapers: Philadelphia Tribune (1912-2001),"6003,VISUAL AND PERFORMING ARTS,Arts",off campus
doctorate,Sibley Music Library Music Scores,"1105,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources",on campus
junior,Medieval Travel Writing,"5102,""NUCLEAR, INDUSTRIAL RADIOLOGY, AND BIOLOGICAL TECHNOLOGIES"",Physical Sciences",off campus
faculty,"Nixon Years, 1969-1974","5203,COUNSELING PSYCHOLOGY,Psychology & Social Work",off campus
doctorate,Christian Science Monitor,"6211,HOSPITALITY MANAGEMENT,Business",on campus
faculty,American Indian Histories and Cultures ,"6202,ACTUARIAL SCIENCE,Business",off campus
junior,"Voices from the Dust Bowl: the Charles L. Todd and Robert Sonkin Migrant Worker Collection, 1940-1941","3600,BIOLOGY,Biology & Life Science",off campus
senior,DynaMed,"2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics",off campus
doctorate,INFORMS PubsOnLine,"2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering",off campus
graduate,ABI/INFORM Collection,"6100,GENERAL MEDICAL AND HEALTH SERVICES,Health",on campus
doctorate,Literature Criticism Online,"3699,MISCELLANEOUS BIOLOGY,Biology & Life Science",off campus
doctorate,ARTFL French Dictionaries,"1901,COMMUNICATIONS,Communications & Journalism",off campus
sophomore,ERIC (ProQuest),"6199,MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health",on campus
graduate,ERIC (Education Resources Information Center),"6005,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts",on campus
graduate,Latin American Network Information Center,"5301,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy",off campus
junior,Advanced Technologies &amp;amp; Aerospace (ProQuest),"3611,NEUROSCIENCE,Biology & Life Science",off campus
junior,"Meiji Japan: The Edward Sylvester Morse Collection from the Peabody Essex Museum, Salem","5003,CHEMISTRY,Physical Sciences",off campus
sophomore,Morningstar Investment Research Center,"2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics",off campus
senior,Sheldon Harris Sheet Music Collection,"bbbb ,N/A (less than bachelor's degree),NA",on campus
senior,Urban Institute,"6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business",on campus
senior,Gale OneFile: Environmental Studies,"2313,LANGUAGE AND DRAMA EDUCATION,Education",off campus
sophomore,Latin American Network Information Center,"4002,NUTRITION SCIENCES,Health",off campus
graduate,Music Online:  Listening,"6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health",off campus
junior,Christian Science Monitor,"4001,INTERCULTURAL AND INTERNATIONAL STUDIES,Humanities & Liberal Arts",on campus
doctorate,Victorian Popular Culture,"6103,HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health",off campus
doctorate,DynaMed,"6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health",on campus
sophomore,Gale eBooks,"6105,MEDICAL TECHNOLOGIES TECHNICIANS,Health",off campus
sophomore,Morningstar Investment Research Center,"5507,SOCIOLOGY,Social Science",off campus
junior,Ethnographic Video Online,"5005,GEOSCIENCES,Physical Sciences",off campus
faculty,"Caribbean Newspapers, 1718-1876","5503,CRIMINOLOGY,Social Science",off campus
freshman,IEEE Xplore Digital Library,"2415,METALLURGICAL ENGINEERING,Engineering",on campus
graduate,National Theatre Collection 1 and 2,"6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business",off campus
faculty,Literature Resource Center,"6110,COMMUNITY AND PUBLIC HEALTH,Health",off campus
sophomore,ARL Annual Salary Survey,"5003,CHEMISTRY,Physical Sciences",on campus
doctorate,DRAM: Database of Recorded American Music,"2105,INFORMATION SCIENCES,Computers & Mathematics",on campus
faculty,Music and Performing Arts from Alexander Street,"6106,HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health",on campus
faculty,Healthcare Administration Database (ProQuest),"2308,SCIENCE AND COMPUTER TEACHER EDUCATION,Education",on campus
graduate,Elektronische Zeitschriftenbibliothek - Frei zugangliche E-Journals,"2501,ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering",on campus
graduate,National Theatre Collection 1 and 2,"6200,GENERAL BUSINESS,Business",off campus
sophomore,ABI/INFORM Collection,"1100,GENERAL AGRICULTURE,Agriculture & Natural Resources",off campus
doctorate,Japanese-American Relocation Camp Newspapers: Perspectives on Day-to-Day Life,"2313,LANGUAGE AND DRAMA EDUCATION,Education",on campus
doctorate,Play Index (H.W. Wilson),"4002,NUTRITION SCIENCES,Health",on campus
junior,Sibley Music Library Music Scores,"5001,ASTRONOMY AND ASTROPHYSICS,Physical Sciences",on campus
graduate,Morningstar Investment Research Center,"1100,GENERAL AGRICULTURE,Agriculture & Natural Resources",off campus
doctorate,General Reference Center Gold,"3607,PHARMACOLOGY,Biology & Life Science",off campus
sophomore,"Early American Imprints, Series I: Evans, 1639-1800","2100,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics",off campus
graduate,UlrichsWeb Global Serials Directory,"2499,MISCELLANEOUS ENGINEERING,Engineering",off campus
graduate,Gale OneFile: Educator's Reference,"5901,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services",on campus
faculty,SciFinder-n,"3702,STATISTICS AND DECISION SCIENCE,Computers & Mathematics",on campus
faculty,ARTFL: French Women Writers Database,"6207,FINANCE,Business",on campus
faculty,PILOTS,"5403,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work",on campus
faculty,"Sousa, John Philip: The March King: John Philip Sousa","5901,TRANSPORTATION SCIENCES AND TECHNOLOGIES,Industrial Arts & Consumer Services",off campus
senior,"Voices from the Dust Bowl: the Charles L. Todd and Robert Sonkin Migrant Worker Collection, 1940-1941","2414,MECHANICAL ENGINEERING,Engineering",on campus
faculty,Medieval Travel Writing,"bbbb ,N/A (less than bachelor's degree),NA",off campus
freshman,SciFinder-n,"2309,SECONDARY TEACHER EDUCATION,Education",off campus
sophomore,Scientific American Archive Online,"2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering",off campus
sophomore,Oxford Bibliographies Online: Philosophy,"2415,METALLURGICAL ENGINEERING,Engineering",on campus
senior,National Science Foundation Awards Database,"1104,FOOD SCIENCE,Agriculture & Natural Resources",on campus
graduate,"Nixon Years, 1969-1974","4007,INTERDISCIPLINARY SOCIAL SCIENCES,Social Science",off campus
freshman,ABI/INFORM Dateline,"6211,HOSPITALITY MANAGEMENT,Business",off campus
doctorate,E-Codices: Virtual Manuscript Library of Switzerland,"3301,ENGLISH LANGUAGE AND LITERATURE,Humanities & Liberal Arts",on campus
doctorate,Music Online:  Listening,"2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering",on campus
sophomore,Urban Institute,"2101,COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics",on campus
doctorate,Naxos Music Library,"3601,BIOCHEMICAL SCIENCES,Biology & Life Science",on campus
senior,Trans-Atlantic Slave Trade Database,"6203,BUSINESS MANAGEMENT AND ADMINISTRATION,Business",off campus
junior,Music Online:  Listening,"2100,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics",off campus
junior,INFORMS PubsOnLine,"6110,COMMUNITY AND PUBLIC HEALTH,Health",on campus
doctorate,Literature Resource Center,"6212,MANAGEMENT INFORMATION SYSTEMS AND STATISTICS,Business",off campus
senior,SEPM (Society for Sedimentary Geology) Publications,"5005,GEOSCIENCES,Physical Sciences",off campus
faculty,Humanities International Index,"2310,SPECIAL NEEDS EDUCATION,Education",on campus
senior,Oxford Bibliographies Online: Philosophy,"3601,BIOCHEMICAL SCIENCES,Biology & Life Science",on campus
faculty,Scientific American Archive Online,"5403,HUMAN SERVICES AND COMMUNITY ORGANIZATION,Psychology & Social Work",on campus
doctorate,Urban Institute,"2306,PHYSICAL AND HEALTH EDUCATION TEACHING,Education",on campus
doctorate,CIA World Factbook,"6099,MISCELLANEOUS FINE ARTS,Arts",off campus
doctorate,National Theatre Collection 1 and 2,"6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business",on campus
doctorate,National Science Foundation Awards Database,"3402,HUMANITIES,Humanities & Liberal Arts",off campus
junior,"Mafia in Florida and Cuba: FBI Surveillance of Meyer Lansky and Santo Trafficante, Jr.","2400,GENERAL ENGINEERING,Engineering",off campus
freshman,IDEAS Internet Documents in Economics Access Service,"2417,NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering",on campus
sophomore,title,"6204,OPERATIONS LOGISTICS AND E-COMMERCE,Business",off campus
junior,SciFinder-n,"2500,ENGINEERING TECHNOLOGIES,Engineering",off campus
sophomore,Fiddle Tunes of the Old Frontier: The Henry Reed Collection,"6005,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts",off campus
sophomore,United Nations Treaty Collection,"5301,CRIMINAL JUSTICE AND FIRE PROTECTION,Law & Public Policy",on campus
sophomore,American West,"6005,FILM VIDEO AND PHOTOGRAPHIC ARTS,Arts",on campus
sophomore,Music Online:  Popular Music Library,"6006,ART HISTORY AND CRITICISM,Humanities & Liberal Arts",on campus
freshman,PILOTS,"6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business",on campus
senior,ABI/INFORM Dateline,"6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business",off campus
junior,Naxos Music Library,"5008,MATERIALS SCIENCE,Engineering",on campus
junior,Elektronische Zeitschriftenbibliothek - Frei zugangliche E-Journals,"1501,AREA ETHNIC AND CIVILIZATION STUDIES,Humanities & Liberal Arts",on campus
freshman,IEEE Xplore Digital Library,"6107,NURSING,Health",on campus
freshman,E-Codices: Virtual Manuscript Library of Switzerland,"3402,HUMANITIES,Humanities & Liberal Arts",off campus
doctorate,General Reference Center Gold,"2502,ELECTRICAL ENGINEERING TECHNOLOGY,Engineering",on campus
faculty,Agricultural &amp;amp; Environmental Science,"2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering",on campus
freshman,Ambrose Video,"6210,INTERNATIONAL BUSINESS,Business",on campus
graduate,Frances G. Spencer Collection of American Sheet Music,"2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering",off campus
graduate,Christian Science Monitor,"2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics",on campus
graduate,PILOTS,"2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering",off campus
graduate,Fiddle Tunes of the Old Frontier: The Henry Reed Collection,"1105,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources",off campus
senior,ProQuest Historical Newspapers: Philadelphia Tribune (1912-2001),"5601,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services",on campus
graduate,Naxos Music Library Jazz,"6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health",off campus
junior,"Nixon Years, 1969-1974","3501,LIBRARY SCIENCE,Education",on campus
freshman,Healthcare Administration Database (ProQuest),"6203,BUSINESS MANAGEMENT AND ADMINISTRATION,Business",on campus
senior,Urban Institute,"3609,ZOOLOGY,Biology & Life Science",on campus
faculty,Business Insights: Global,"6205,BUSINESS ECONOMICS,Business",off campus
senior,"Sousa, John Philip: The March King: John Philip Sousa","2300,GENERAL EDUCATION,Education",off campus
graduate,Gale OneFile: Educator's Reference,"2402,BIOLOGICAL ENGINEERING,Engineering",off campus
senior,Play Index (H.W. Wilson),"5299,MISCELLANEOUS PSYCHOLOGY,Psychology & Social Work",on campus
freshman,Japanese-American Relocation Camp Newspapers: Perspectives on Day-to-Day Life,"1106,SOIL SCIENCE,Agriculture & Natural Resources",on campus
graduate,Ambrose Video,"2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering",on campus
sophomore,Apartheid South Africa,"bbbb ,N/A (less than bachelor's degree),NA",on campus
faculty,INFORMS PubsOnLine,"4801,PHILOSOPHY AND RELIGIOUS STUDIES,Humanities & Liberal Arts",on campus
faculty,SEPM (Society for Sedimentary Geology) Publications,"1100,GENERAL AGRICULTURE,Agriculture & Natural Resources",on campus
faculty,"Meiji Japan: The Edward Sylvester Morse Collection from the Peabody Essex Museum, Salem","3402,HUMANITIES,Humanities & Liberal Arts",on campus
freshman,Music and Performing Arts from Alexander Street,"2408,ELECTRICAL ENGINEERING,Engineering",on campus
doctorate,"Nixon Years, 1969-1974","2603,OTHER FOREIGN LANGUAGES,Humanities & Liberal Arts",off campus
senior,Victorian Popular Culture,"2106,COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics",off campus
junior,Naxos Music Library Jazz,"5507,SOCIOLOGY,Social Science",on campus
freshman,General Reference Center Gold,"3606,MICROBIOLOGY,Biology & Life Science",off campus
sophomore,"Nixon Years, 1969-1974","2419,PETROLEUM ENGINEERING,Engineering",on campus
faculty,IEEE Xplore Digital Library,"3605,GENETICS,Biology & Life Science",on campus
doctorate,INFORMS PubsOnLine,"6211,HOSPITALITY MANAGEMENT,Business",off campus
junior,IEEE Xplore Digital Library,"6299,MISCELLANEOUS BUSINESS & MEDICAL ADMINISTRATION,Business",off campus
senior,Victorian Popular Culture,"2901,FAMILY AND CONSUMER SCIENCES,Industrial Arts & Consumer Services",on campus
faculty,"Voices from the Dust Bowl: the Charles L. Todd and Robert Sonkin Migrant Worker Collection, 1940-1941","6100,GENERAL MEDICAL AND HEALTH SERVICES,Health",off campus
junior,E-Codices: Virtual Manuscript Library of Switzerland,"6006,ART HISTORY AND CRITICISM,Humanities & Liberal Arts",off campus
faculty,Frances G. Spencer Collection of American Sheet Music,"6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health",off campus
senior,Gale OneFile: Environmental Studies,"3402,HUMANITIES,Humanities & Liberal Arts",off campus
doctorate,ProQuest Historical Newspapers: Philadelphia Tribune (1912-2001),"1401,ARCHITECTURE,Engineering",off campus
sophomore,title,"1301,ENVIRONMENTAL SCIENCE,Biology & Life Science",on campus
faculty,Elektronische Zeitschriftenbibliothek - Frei zugangliche E-Journals,"6402,HISTORY,Humanities & Liberal Arts",off campus
senior,ARTFL French Dictionaries,"6002,MUSIC,Arts",off campus
sophomore,Agricultural &amp;amp; Environmental Science,"4005,MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics",off campus
graduate,"Caribbean Newspapers, 1718-1876","2406,CIVIL ENGINEERING,Engineering",off campus
faculty,Sibley Music Library Music Scores,"6211,HOSPITALITY MANAGEMENT,Business",on campus
doctorate,United Nations Treaty Collection,"2602,FRENCH GERMAN LATIN AND OTHER COMMON FOREIGN LANGUAGE STUDIES,Humanities & Liberal Arts",on campus
graduate,Healthcare Administration Database (ProQuest),"2100,COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics",on campus
doctorate,Lippincott Health Library,"2309,SECONDARY TEACHER EDUCATION,Education",off campus
junior,Agricultural &amp;amp; Environmental Science,"5601,CONSTRUCTION SERVICES,Industrial Arts & Consumer Services",off campus
doctorate,UlrichsWeb Global Serials Directory,"1105,PLANT SCIENCE AND AGRONOMY,Agriculture & Natural Resources",off campus
graduate,EconPapers,"2408,ELECTRICAL ENGINEERING,Engineering",on campus
doctorate,Trans-Atlantic Slave Trade Database,"6108,PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health",off campus
graduate,"Caribbean Newspapers, 1718-1876","6207,FINANCE,Business",on campus
doctorate,ARL Annual Salary Survey,"6402,HISTORY,Humanities & Liberal Arts",on campus
junior,Feature Films for Education ,"4002,NUTRITION SCIENCES,Health",off campus
faculty,Gale eBooks,"1102,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources",off campus
junior,"Mafia in Florida and Cuba: FBI Surveillance of Meyer Lansky and Santo Trafficante, Jr.","3501,LIBRARY SCIENCE,Education",off campus
sophomore,ARTFL: Provencal Poetry Database,"3700,MATHEMATICS,Computers & Mathematics",on campus
sophomore,Literature Criticism Online,"2402,BIOLOGICAL ENGINEERING,Engineering",on campus
junior,Los Angeles Times,"2311,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education",on campus
doctorate,Music Online:  Popular Music Library,"2301,EDUCATIONAL ADMINISTRATION AND SUPERVISION,Education",off campus
graduate,Gale OneFile: Environmental Studies,"1102,AGRICULTURAL ECONOMICS,Agriculture & Natural Resources",on campus
faculty,"Mafia in Florida and Cuba: FBI Surveillance of Meyer Lansky and Santo Trafficante, Jr.","6200,GENERAL BUSINESS,Business",on campus
junior,Dance Online:  Dance in Video,"4007,INTERDISCIPLINARY SOCIAL SCIENCES,Social Science",off campus
senior,DRAM: Database of Recorded American Music,"1199,MISCELLANEOUS AGRICULTURE,Agriculture & Natural Resources",on campus
